,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
10,office administrator,,"June 05, 2024",Not specified,,,"June 05, 2024",Nikki Health,Woodbridge (ON),Salary: $19.00 hourly,9310243164,https://ca.indeed.com/viewjob?jk=75366140f72690fb&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Woodbridge , ON",$ 19.00 HOUR hourly,Not specified,Starts as soon as possible,1 vacancy,indeed.com #9310243164,Not specified
11,office administrator,,"June 07, 2024",Not specified,,,"June 07, 2024",Fourth Line Animal Hospital,Oakville (ON),Salary: $18.54 to $21.65 hourly,9313963866,https://ca.indeed.com/viewjob?jk=734946444735267f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Oakville , ON",$ 18.54 to $ 21.65 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9313963866,Not specified
12,office administrator,,"June 06, 2024",Not specified,,,"June 06, 2024",iStaff Services,Toronto (ON),Salary not available,9312513401,https://ca.indeed.com/viewjob?jk=e834632e5d71997c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9312513401,Not specified
13,office administrator,,"May 22, 2024",Not specified,,,"May 22, 2024",BDSL,Springwater Lakes (ON),Salary: $18.00 to $18.25 hourly,9289811669,https://ca.indeed.com/viewjob?jk=1c6b3b719e29e15c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Springwater Lakes , ON",$ 18.00 to $ 18.25 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9289811669,Not specified
14,office administrator,,"May 22, 2024",Not specified,,,"May 22, 2024",Thompson Rivers Physiotherapy,Kamloops (BC),Salary: $17.50 hourly,9290108544,https://ca.indeed.com/viewjob?jk=d871c5412982047a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kamloops , BC",$ 17.50 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9290108544,Not specified
15,office administrator,,"June 11, 2024",Not specified,,,"June 11, 2024",White Rock Mechanical Services,Kentville (NS),Salary: $18.00 hourly,9318344674,https://ca.indeed.com/viewjob?jk=95ef79176bd09ac7&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kentville , NS",$ 18.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9318344674,Not specified
16,office administrator,,"May 31, 2024",Not specified,,,"May 31, 2024",Coastal Mountain Fuels,Langley (BC),Salary: $20.00 to $22.00 hourly,9302770490,https://ca.indeed.com/viewjob?jk=cd28fa54c1bd5674&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Langley , BC",$ 20.00 to $ 22.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9302770490,Not specified
17,office administrator,,"April 05, 2024",2024-06-26,Job Bank,This job posting is advertised by a recruitment agency on behalf of the employer.,"April 05, 2024",Hire Hub Placement Agency,Edmonton (AB),Salary: $30.00 hourly,2868303,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': []}","Edmonton , AB",$ 30.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2868303,Permanent placement opportunity
18,office administrator,,"May 15, 2024",Not specified,,,"May 15, 2024",DCA Printing Inc,Grande Prairie (AB),Salary: $18.00 hourly,9280820484,https://ca.indeed.com/viewjob?jk=a2ea8582da79c417&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Grande Prairie , AB",$ 18.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9280820484,Not specified
19,office administrator,,"June 03, 2024",Not specified,,,"June 03, 2024",Trehan Consulting Group Inc.,Vancouver (BC),Salary: $22.00 to $25.00 hourly,9307345396,https://ca.indeed.com/viewjob?jk=dfb0ddcb8824fc47&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",$ 22.00 to $ 25.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9307345396,Not specified
20,office administrator,,"June 06, 2024",2024-06-17,,,"June 06, 2024",LEL PROFESSIONAL COUNSELLING ASSOCIATES INC.,Saskatoon (SK),Salary: Varies with experience,1357740,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1357740,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saskatoon , SK",Varies with experience,Not specified,Starts as soon as possible,Not specified,SaskJobs #1357740,Not specified
21,office administrator,,"May 22, 2024",Not specified,,,"May 22, 2024",13578hup,Chatham-Kent (ON),Salary: $27.25 to $28.00 hourly,9290418803,https://ca.indeed.com/viewjob?jk=8c001f63f48f0e30&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Chatham-Kent , ON",$ 27.25 to $ 28.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9290418803,Not specified
22,office administrator,,"June 06, 2024",Not specified,,,"June 06, 2024",Alltron Systems,Edmonton (AB),Salary not available,9312381184,https://ca.indeed.com/viewjob?jk=65dfad1e0f1ca2ed&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9312381184,Not specified
23,office administrator,,"June 10, 2024",2024-07-09,,,"June 10, 2024",FitFix inc,Calgary (AB),Salary: $24.77 hourly,b067babc,https://www.ziprecruiter.com/k/t/AALJyhp6RCjuaKkL0fFl0ee_bgfjvkmxTLXiBcbohivB42ilh3nNgN5VPoJkHk7YI4XTtCMNYtCXBpJ9Z8JdexHzMJjhPYfa-NUvni95ChmW9hd-mvI5RhyMdZJYlpqlV0274XRk7itm8Ivd0BoiNoy2YY1GBFsMY7jJX-hrqneHyP9TaWbaNJEH-NOZIM6fDL0MwSQhieUEvnZBjOWi8yEacW1xr2Z_Pn-HjNw-mElsrq3VEmbVtOQuU-_Ptyun3ZmYLr2y6IuNX2n5uLJifxChNsG0HmYX0qqsG2zV,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 24.77 HOUR hourly,Not specified,Starts as soon as possible,1 vacancy,ZipRecruiter #b067babc,Not specified
24,office administrator,,"May 15, 2024",Not specified,,,"May 15, 2024",The Better Bin Company,London (ON),Salary: $22.00 to $27.00 hourly,9280460985,https://ca.indeed.com/viewjob?jk=2fa37e08b85d94a0&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","London , ON",$ 22.00 to $ 27.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9280460985,Not specified
25,office administrator,,"May 30, 2024",Not specified,,,"May 30, 2024",Monette Farms Ltd.,Cache Creek (BC),Salary: $25.00 to $27.00 hourly,9301108152,https://ca.indeed.com/viewjob?jk=6efd320b34fca3df&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Cache Creek , BC",$ 25.00 to $ 27.00 HOUR hourly,Not specified,Starts as soon as possible,1 vacancy,indeed.com #9301108152,Not specified
26,office administrator,,"May 30, 2024",Not specified,,,"May 30, 2024",Simply Heating & Air Conditioning,Ottawa (ON),Salary: $20.00 hourly,9300736306,https://ca.indeed.com/viewjob?jk=fd95ddacd892ee14&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON",$ 20.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9300736306,Not specified
27,office administrator,,"June 10, 2024",Not specified,,,"June 10, 2024",Dunnington Holdings Ltd.,Swift Current (SK),Salary not available,9316895685,https://ca.indeed.com/viewjob?jk=009281429b1ac4ab&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Swift Current , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9316895685,Not specified
28,office administrator,,"June 07, 2024",2024-07-08,,,"June 07, 2024",TEEMA Group,Edmonton (AB),Salary not available,RADUZP7W,https://job-openings.monster.ca/office-administrator-edmonton-ab-ca-teema-group/2ac27f36-e064-4f8d-b807-690932807e39?mescoid=4300749001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #RADUZP7W,Not specified
29,office administrator,,"May 22, 2024",Not specified,,,"May 22, 2024",Gateway Dental Clinic,Prince Rupert (BC),Salary: $20.00 to $28.00 hourly,9290216308,https://ca.indeed.com/viewjob?jk=6792326fb164e1ed&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Prince Rupert , BC",$ 20.00 to $ 28.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9290216308,Not specified
30,office administrator,,"June 05, 2024",Not specified,,,"June 05, 2024",Summit Tools,Kelowna (BC),Salary: $21.00 to $24.00 hourly,9310436192,https://ca.indeed.com/viewjob?jk=ac64327160fd2444&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kelowna , BC",$ 21.00 to $ 24.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9310436192,Not specified
31,office administrator,,"June 05, 2024",Not specified,,,"June 05, 2024",Summit Tools,Kelowna (BC),Salary: $21.00 to $24.00 hourly,9310436192,https://ca.indeed.com/viewjob?jk=ac64327160fd2444&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kelowna , BC",$ 21.00 to $ 24.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9310436192,Not specified
32,office administrator,,"June 05, 2024",2024-07-04,,,"June 05, 2024",Fresh Green Farms Corp.,Pitt Meadows (BC),Salary not available,b6eb217b21,https://www.ziprecruiter.com/k/t/AAKlxGNSeaZp7UVAhlraXWXlQcABUWHaUAURRHnM0dgbAXb0LuFsScXfCS5qX1VF7Sf5ve3T1AD7lgisaTnvxOu2S0iTTK2C4S6Aubi0fEDt2oY6qrs82rEFABeDxwTm261459HB3yOfYdrfm0yWEOGCiLQdn_ixWjNwaEz42VSMoDxgEsxANmiHKY7xYKazh4Ut-M1yLEZK0ywEJo4hX3rTSuDfrMvdchAWjPbKwTo8vmHuI350f5ifXf21sd_FucbCbvTtr2OpROchtEOsbnhEoiy8Z4Z5TVc0Wh5YzAsoJEVk2x1_X2AOiTOr,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Pitt Meadows , BC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #b6eb217b21,Not specified
33,office administrator,,"May 31, 2024",Not specified,,,"May 31, 2024",NAPIER-REID LIMITED,Aurora (ON),"Salary: $50,000.00 to $65,000.00 annually",9302418116,https://ca.indeed.com/viewjob?jk=d857c69e1db350e3&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Aurora , ON","$ 50,000 to $ 65,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9302418116,Not specified
34,office administrator,,"May 31, 2024",Not specified,,,"May 31, 2024",NAPIER-REID LIMITED,Aurora (ON),"Salary: $50,000.00 to $65,000.00 annually",9302418116,https://ca.indeed.com/viewjob?jk=d857c69e1db350e3&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Aurora , ON","$ 50,000 to $ 65,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9302418116,Not specified
35,office administrator,,"May 21, 2024",Not specified,,,"May 21, 2024",Legacee Builders,Regina (SK),Salary: $20.00 to $25.00 hourly,9288561944,https://ca.indeed.com/viewjob?jk=d50a0db2a1c89a26&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",$ 20.00 to $ 25.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9288561944,Not specified
36,office administrator,,"May 17, 2024",Not specified,,,"May 17, 2024",Parsons Investments Limited,Kingston (NS),Salary not available,9283680206,https://ca.indeed.com/viewjob?jk=6a33ef8053c4fb2c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kingston , NS",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9283680206,Not specified
37,office administrator,Title posted on Monster -Medical Office Administrator,"June 02, 2024",2024-07-03,,,"June 02, 2024",WS Audiology Americas,Kawartha Lakes (ON),Salary not available,3382617,https://job-openings.monster.ca/medical-office-administrator-kawartha-lakes-on-ca-ws-audiology-americas/78867fc1-3aba-4f99-9c74-df31f324cce6?mescoid=4300692001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kawartha Lakes , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #3382617,Not specified
38,office administrator,,"June 05, 2024",Not specified,,,"June 05, 2024",SP Pump & Tanks,Sooke (BC),Salary: $25.00 to $30.00 hourly,9310505420,https://ca.indeed.com/viewjob?jk=f5262b0d88295f40&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sooke , BC",$ 25.00 to $ 30.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9310505420,Not specified
39,office administrator,Title posted on Monster -Medical Office Administrator,"June 02, 2024",2024-07-03,,,"June 02, 2024",WS Audiology Americas,Kawartha Lakes (ON),Salary not available,3382617,https://job-openings.monster.ca/medical-office-administrator-kawartha-lakes-on-ca-ws-audiology-americas/78867fc1-3aba-4f99-9c74-df31f324cce6?mescoid=4300692001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kawartha Lakes , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #3382617,Not specified
40,office administrator,,"June 12, 2024",2024-07-13,,,"June 12, 2024",United West Burlington,Burlington (ON),Salary not available,uYcNQoDWaB,https://job-openings.monster.ca/office-administrator-burlington-on-ca-united-west-burlington/7fc0f99f-9bf7-4c1f-9dfc-2e4613115fbb?mescoid=4300749001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Burlington , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #uYcNQoDWaB,Not specified
41,office administrator,Title posted on CareerBeacon -Administrative Assistant,"June 04, 2024",2024-07-04,,,"June 04, 2024",The Shaw Group Limited,Lantz (NS),Salary not available,2068979,https://www.careerbeacon.com/en/job/2068979/the-shaw-group-limited/administrative-assistant/lantz?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Lantz , NS",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2068979,Not specified
42,office administrator,Title posted on CareerBeacon -Administrative Assistant,"June 04, 2024",2024-07-04,,,"June 04, 2024",The Shaw Group Limited,Lantz (NS),Salary not available,2068979,https://www.careerbeacon.com/en/job/2068979/the-shaw-group-limited/administrative-assistant/lantz?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Lantz , NS",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2068979,Not specified
43,office administrator,,"June 11, 2024",Not specified,,,"June 11, 2024",Taheri Immigration Services,Thornhill (ON),Salary: $18.00 to $28.00 hourly,9318672982,https://ca.indeed.com/viewjob?jk=b7f8afda69c56d2c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Thornhill , ON",$ 18.00 to $ 28.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9318672982,Not specified
44,office administrator,,"June 05, 2024",Not specified,,,"June 05, 2024",Andrew Sheret Limited,Victoria (BC),Salary: $19.75 to $24.00 hourly,9310301383,https://ca.indeed.com/viewjob?jk=14d7a149d7a8ba27&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Victoria , BC",$ 19.75 to $ 24.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9310301383,Not specified
45,office administrator,,"May 24, 2024",Not specified,,,"May 24, 2024",DBL Disposal,Nanaimo (BC),Salary: $20.00 to $25.00 hourly,9293531984,https://ca.indeed.com/viewjob?jk=b3f3fc963152c7b8&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Nanaimo , BC",$ 20.00 to $ 25.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9293531984,Not specified
46,office administrator,,"June 05, 2024",Not specified,,,"June 05, 2024",Andrew Sheret Limited,Victoria (BC),Salary: $19.75 to $24.00 hourly,9310301383,https://ca.indeed.com/viewjob?jk=14d7a149d7a8ba27&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Victoria , BC",$ 19.75 to $ 24.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9310301383,Not specified
47,office administrator,,"May 30, 2024",Not specified,,,"May 30, 2024",Zorbie Products Ltd,Abbotsford (BC),Salary: $27.00 to $33.00 hourly,9301407695,https://ca.indeed.com/viewjob?jk=b6712ee680a99c06&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Abbotsford , BC",$ 27.00 to $ 33.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9301407695,Not specified
48,office administrator,Title posted on Monster -Bilingual Office Administration Assistant,"June 12, 2024",2024-07-13,,,"June 12, 2024",Bridges Canada,Scarborough (ON),Salary not available,iviOj4cjtv,https://job-openings.monster.ca/bilingual-office-administration-assistant-scarborough-on-ca-bridges-canada/ed61de99-257b-49e0-aca2-26db0fde0164?mescoid=4300749001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Scarborough , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #iviOj4cjtv,Not specified
49,office administrator,,"June 12, 2024",Not specified,,,"June 12, 2024",Duty Calls Portables Ltd.,Okotoks (AB),Salary: $18.00 hourly,9320772756,https://ca.indeed.com/viewjob?jk=799da0780ad9869d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Okotoks , AB",$ 18.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9320772756,Not specified
50,office administrator,,"May 14, 2024",Not specified,,,"May 14, 2024",Lakeview Meadows Community Association,Invermere (BC),Salary: $22.00 hourly,9278937193,https://ca.indeed.com/viewjob?jk=4751742b7b815fc6&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Invermere , BC",$ 22.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9278937193,Not specified
51,office administrator,,"June 03, 2024",Not specified,,,"June 03, 2024",Adams Mobox Storage,Victoria (BC),Salary: $20.00 hourly,9307039234,https://ca.indeed.com/viewjob?jk=a6a3e7896d7f46fe&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Victoria , BC",$ 20.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9307039234,Not specified
52,office administrator,,"June 03, 2024",Not specified,,,"June 03, 2024",Quality Living Housing Cooperative,Ottawa (ON),Salary: $25.00 hourly,9306658470,https://ca.indeed.com/viewjob?jk=fed86dd6e57aeed2&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON",$ 25.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9306658470,Not specified
53,office administrator,,"May 17, 2024",2024-06-16,,,"May 17, 2024",AmeriSpec,Dartmouth (NS),Salary not available,2053781,https://www.careerbeacon.com/en/job/2053781/amerispec/office-administrator/dartmouth?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Dartmouth , NS",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2053781,Not specified
54,office administrator,,"May 29, 2024",Not specified,,,"May 29, 2024",Freelandt Caldwell Reilly LLP,Greater Sudbury (ON),Salary not available,9299244145,https://ca.indeed.com/viewjob?jk=8f2b4006acce992b&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Greater Sudbury , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9299244145,Not specified
55,office administrator,,"June 07, 2024",Not specified,,,"June 07, 2024",Crispo Canada Inc.,Bolton (ON),"Salary: $47,000.00 annually",9313972616,https://ca.indeed.com/viewjob?jk=626571b31b504d1c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Bolton , ON","$ 47,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9313972616,Not specified
